"Month","Monthly_Sales"
2000-01-01,854
2000-02-01,762
2000-03-01,638
2000-04-01,608
2000-05-01,711
2000-06-01,809
2000-07-01,741
2000-08-01,1075
2000-09-01,788
2000-10-01,764
2000-11-01,842
2000-12-01,693
2001-01-01,704
2001-02-01,596
2001-03-01,455
2001-04-01,801
2001-05-01,892
2001-06-01,1005
2001-07-01,988
2001-08-01,947
2001-09-01,907
2001-10-01,865
2001-11-01,872
2001-12-01,1018
2002-01-01,991
2002-02-01,1050
2002-03-01,716
2002-04-01,820
2002-05-01,924
2002-06-01,1068
2002-07-01,921
2002-08-01,1047
2002-09-01,980
2002-10-01,870
2002-11-01,786
2002-12-01,984
2003-01-01,1075
2003-02-01,1199
2003-03-01,913
2003-04-01,894
2003-05-01,922
2003-06-01,858
2003-07-01,866
2003-08-01,728
2003-09-01,828
2003-10-01,848
2003-11-01,882
2003-12-01,1051
2004-01-01,1083
2004-02-01,1051
2004-03-01,941
2004-04-01,914
2004-05-01,877
2004-06-01,1082
2004-07-01,1016
2004-08-01,1193
2004-09-01,1009
2004-10-01,1012
2004-11-01,800
2004-12-01,978
2005-01-01,1053
2005-02-01,998
2005-03-01,1128
2005-04-01,1205
2005-05-01,1056
2005-06-01,1197
2005-07-01,1044
2005-08-01,949
2005-09-01,1016
2005-10-01,1001
2005-11-01,1183
2005-12-01,1414
2006-01-01,1096
2006-02-01,748
2006-03-01,804
2006-04-01,1022
2006-05-01,1124
2006-06-01,1202
2006-07-01,1100
2006-08-01,1259
2006-09-01,1090
2006-10-01,988
2006-11-01,880
2006-12-01,996
2007-01-01,1147
2007-02-01,940
2007-03-01,960
2007-04-01,1050
2007-05-01,1318
2007-06-01,1453
2007-07-01,1415
2007-08-01,1335
2007-09-01,1236
2007-10-01,1305
2007-11-01,975
2007-12-01,1119
2008-01-01,1260
2008-02-01,1137
2008-03-01,1070
2008-04-01,1042
2008-05-01,1397
2008-06-01,1125
2008-07-01,1277
2008-08-01,1245
2008-09-01,1106
2008-10-01,1184
2008-11-01,1069
2008-12-01,1219
2009-01-01,1520
2009-02-01,1243
2009-03-01,1026
2009-04-01,1105
2009-05-01,1346
2009-06-01,1339
2009-07-01,1248
2009-08-01,1185
2009-09-01,968
2009-10-01,926
2009-11-01,981
2009-12-01,1423
2010-01-01,1295
2010-02-01,1135
2010-03-01,1028
2010-04-01,1362
2010-05-01,1325
2010-06-01,1335
2010-07-01,1378
2010-08-01,1366
2010-09-01,1314
2010-10-01,1098
2010-11-01,1237
2010-12-01,1128
2011-01-01,1174
2011-02-01,1302
2011-03-01,1273
2011-04-01,1425
2011-05-01,1291
2011-06-01,1511
2011-07-01,1275
2011-08-01,1080
2011-09-01,1267
2011-10-01,1204
2011-11-01,1094
2011-12-01,1273
2012-01-01,1417
2012-02-01,1086
2012-03-01,1162
2012-04-01,1339
2012-05-01,1499
2012-06-01,1666
2012-07-01,1685
2012-08-01,1249
2012-09-01,1263
2012-10-01,1244
2012-11-01,1264
2012-12-01,1462
2013-01-01,1392
2013-02-01,1136
2013-03-01,1292
2013-04-01,1398
2013-05-01,1453
2013-06-01,1660
2013-07-01,1634
2013-08-01,1357
2013-09-01,1324
2013-10-01,1016
2013-11-01,997
2013-12-01,1406
2014-01-01,1588
2014-02-01,1470
2014-03-01,1252
2014-04-01,1302
2014-05-01,1403
2014-06-01,1492
2014-07-01,1568
2014-08-01,1327
2014-09-01,1359
2014-10-01,1500
2014-11-01,1200
2014-12-01,1236
2015-01-01,1251
2015-02-01,1203
2015-03-01,1105
2015-04-01,1037
2015-05-01,1623
2015-06-01,1776
2015-07-01,1613
2015-08-01,1502
2015-09-01,1560
2015-10-01,1362
2015-11-01,1423
2015-12-01,1420
2016-01-01,1375
2016-02-01,1044
2016-03-01,1121
2016-04-01,1569
2016-05-01,1574
2016-06-01,1470
2016-07-01,1628
2016-08-01,1483
2016-09-01,1357
2016-10-01,1359
2016-11-01,1379
2016-12-01,1391
2017-01-01,1449
2017-02-01,1168
2017-03-01,1402
2017-04-01,1396
2017-05-01,1681
2017-06-01,1715
2017-07-01,1814
2017-08-01,1569
2017-09-01,1338
2017-10-01,1215
2017-11-01,1111
2017-12-01,1426
2018-01-01,1622
2018-02-01,1544
2018-03-01,1127
2018-04-01,1341
2018-05-01,1688
2018-06-01,1597
2018-07-01,1682
2018-08-01,1696
2018-09-01,1432
2018-10-01,1321
2018-11-01,1234
2018-12-01,1493
2019-01-01,1505
2019-02-01,1255
2019-03-01,1058
2019-04-01,1603
2019-05-01,1591
2019-06-01,1835
2019-07-01,1883
2019-08-01,1576
2019-09-01,1450
2019-10-01,1520
2019-11-01,1374
2019-12-01,1462
